시군명,병원명/센터명,업무구분명,대표전화번호,소재지도로명주소,소재지지번주소,소재지우편번호,위도,경도,응급의료지원센터여부,전문응급의료센터여부,전문응급센터전문분야,권역외상센터여부,지역외상센터여부
시흥시,시화병원,지역센터,031-432-2600,경기도 시흥시 옥구천서로 337(정왕동),경기도 시흥시 정왕동 1860-1번지,15040,37.35292864,126.7245822,,,,,
시흥시,신천연합병원,지역기관,031-310-6300,경기도 시흥시 복지로 57(대야동),경기도 시흥시 대야동 469-3번지,14905,37.44452661,126.7893757,,,,,
군포시,원광대산본병원,지역센터,031-390-2300,경기도 군포시 산본로 321(산본동),경기도 군포시 산본동 1142번지,15865,37.35941424,126.9336008,,,,,
군포시,지샘병원,지역센터,031-389-3000,경기도 군포시 군포로 591(당동),경기도 군포시 당동 730번지,15839,37.35864078,126.9473039,,,,,
의왕시,시티병원,지역기관,031-340-0114,경기도 의왕시 오전천로 29(오전동),경기도 의왕시 오전동 374-1번지,16060,37.35028389,126.9767891,,,,,
용인시,강남병원,지역센터,031-300-0114,경기도 용인시 기흥구 중부대로 411(신갈동),경기도 용인시 기흥구 신갈동 65-3번지,17064,37.27367089,127.1114435,,,,,
용인시,다보스병원,지역기관,031-8021-2114,경기도 용인시 처인구 백옥대로1082번길 18(김량장동),경기도 용인시 처인구 김량장동 18-4번지,17063,37.23154588,127.2114164,,,,,
용인시,명주병원,지역기관,1522-8119,경기도 용인시 처인구 금령로39번길 8-6 (김량장동),경기도 용인시 처인구 김량장동 254-337번지,17050,37.23539626,127.2010749,,,,,
용인시,용인서울병원,지역기관,031-322-0001,경기도 용인시 처인구 고림로 81(고림동),경기도 용인시 처인구 고림동 787-1번지,17148,37.24031496,127.2144834,,,,,
용인시,용인세브란스병원,지역센터,031-331-8631,경기도 용인시 기흥구 동백죽전대로 363(중동),경기도 용인시 기흥구 중동 1151번지,16995,37.27077541,127.1482845,,,,,
파주시,메디인병원,지역기관,1566-1991,경기도 파주시 금릉역로 190(금촌동),경기도 파주시 금촌동 495-1번지,10913,37.7610982,126.7667173,,,,,
이천시,경기도의료원 이천병원,지역센터,031-639-4800,경기도 이천시 경충대로 2742번길,경기도 이천시 관고동 515번지,17366,37.28281696,127.4332171,,,,,
안성시,경기도의료원 안성병원,지역기관,031-8046-5000,경기도 안성시 고수2로 17(당왕동),경기 안성시 당왕동 585,17572,37.01728132,127.2603869,,,,,
안성시,안성성모병원,지역기관,031-675-6007,경기도 안성시 시장길 58,경기도 안성시 서인동 14번지,17592,37.00580598,127.2707076,,,,,
김포시,김포우리병원,지역센터,031-999-1000,경기도 김포시 감암로 11(걸포동),경기도 김포시 걸포동 389-15번지,10099,37.63300101,126.7105518,,,,,
김포시,뉴고려병원,지역센터,031-980-9114,경기도 김포시 김포한강3로 283(장기동),경기도 김포시 장기동 1764번지,10086,37.64096392,126.6602555,,,,,
화성시,원광종합병원,지역기관,031-8077-7200,경기도 화성시 화산북로 21(송산동),경기도 화성시 송산동 200-4번지,18356,37.2100623,127.0080299,,,,,
화성시,한림대동탄성심병원,지역센터,031-8086-3000,경기도 화성시 큰재봉길 7(석우동),경기도 화성시 석우동 40번지,18450,37.21649573,127.0799417,,,,,
화성시,화성디에스병원,지역기관,031-5180-7777,경기도 화성시 남양읍 시청로160번길 46-13,경기도 화성시 남양읍 남양리 2319-2번지,18270,37.19923139,126.8257117,,,,,
화성시,화성중앙종합병원,지역기관,031-352-8114,경기도 화성시 향남읍 발안로 5,경기도 화성시 향남읍 평리 74-1번지,18592,37.13134953,126.9107734,,,,,
광주시,참조은병원,지역센터,031-767-7575,경기도 광주시 광주대로 45,경기 광주시 경안동 20-61,12756,37.41086359,127.2602407,,,,,
포천시,경기도의료원 포천병원,지역센터,031-539-9114,경기도 포천시 포천로 1648(신읍동),경기도 포천시 신읍동 243-1번지,11142,37.90309349,127.198349,,,,,
포천시,우리병원,지역기관,031-542-0222,경기도 포천시 소흘읍 호국로 661,경기도 포천시 소흘읍 송우리 116-11번지,11174,37.8274877,127.148136,,,,,
여주시,세종여주병원,지역기관,031-885-7977,경기도 여주시 청심로 47(하동),경기도 여주시 하동 435-2번지,12618,37.30132777,127.6267042,,,,,
연천군,연천군보건의료원,지역기관,031-839-4001,경기도 연천군 전곡읍 은대성로 95,경기도 연천군 전곡읍 은대리 577-36번지,11027,38.02355122,127.0609862,,,,,
양평군,양평병원,지역기관,031-770-5000,경기도 양평군 양평읍 중앙로 129,경기도 양평군 양평읍 공흥리 316-2번지,12550,37.49394884,127.5034843,,,,,
